event_id,data_id,sta,ptime,stime,pol,source,lat,lon,elv,ptime0,stime0,predict,prob,std
J2016041507465204,D20160415000600,USUKI,2016-04-15T07:47:08.758307Z,2016-04-15T07:47:20.898993Z,K,original,33.069,131.7482,140.0,2016-04-15T07:47:08.540000Z,,D,0.6603,0.2594
J2016041507465204,D20160415000600,YTOYOT,2016-04-15T07:47:19.637773Z,2016-04-15T07:47:40.605985Z,K,original,34.2658,131.0622,120.0,2016-04-15T07:47:19.740000Z,,U,0.9945,0.0137
J2016042016013028,D20160420001172,BEPPUA,2016-04-20T16:01:44.178414Z,2016-04-20T16:01:54.271325Z,K,original,33.3363,131.4072,434.0,2016-04-20T16:01:43.880000Z,,U,0.9997,0.0008
J2016042016013028,D20160420001172,HONDO,2016-04-20T16:01:43.387526Z,2016-04-20T16:01:52.906284Z,K,original,32.4683,130.1345,70.0,2016-04-20T16:01:43.080000Z,,U,1.0,0.0
J2016042016013028,D20160420001172,IKI,2016-04-20T16:01:54.024112Z,2016-04-20T16:02:12.001298Z,K,original,33.7988,129.7297,70.0,2016-04-20T16:01:53.980000Z,,U,1.0,0.0
J2016042016013028,D20160420001172,ITAYA,2016-04-20T16:01:43.684716Z,2016-04-20T16:01:53.419091Z,K,original,33.4305,130.386,660.0,2016-04-20T16:01:43.380000Z,,U,1.0,0.0
J2016042016013028,D20160420001172,KITAKA,2016-04-20T16:01:41.825586Z,2016-04-20T16:01:50.209737Z,K,original,32.6278,131.4512,180.0,2016-04-20T16:01:41.580000Z,,U,0.9896,0.0147
J2016042016013028,D20160420001172,KU.KMP,2016-04-20T16:01:34.164557Z,2016-04-20T16:01:36.985485Z,D,original,32.8198,130.6227,150.0,2016-04-20T16:01:34.240000Z,2016-04-20T16:01:36.970000Z,D,1.0,0.0
J2016042016013028,D20160420001172,KU.OMT,2016-04-20T16:01:37.833536Z,2016-04-20T16:01:43.318842Z,U,original,33.0672,130.4537,10.0,2016-04-20T16:01:37.560000Z,2016-04-20T16:01:42.760000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.ASVH,2016-04-20T16:01:35.200875Z,2016-04-20T16:01:38.774417Z,U,original,32.9514,131.0199,347.0,2016-04-20T16:01:35.150000Z,2016-04-20T16:01:38.710000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.BZNH,2016-04-20T16:01:45.922828Z,2016-04-20T16:01:57.282265Z,U,original,33.5925,131.1348,-269.0,2016-04-20T16:01:45.360000Z,2016-04-20T16:01:56.020000Z,U,0.992,0.0108
J2016042016013028,D20160420001172,N.GKSH,2016-04-20T16:01:38.433008Z,2016-04-20T16:01:44.353667Z,U,original,32.6536,131.2257,501.0,2016-04-20T16:01:38.240000Z,2016-04-20T16:01:43.990000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.HKSH,2016-04-20T16:01:35.821781Z,2016-04-20T16:01:39.846169Z,D,original,32.8114,131.101,380.0,2016-04-20T16:01:35.730000Z,2016-04-20T16:01:39.650000Z,D,1.0,0.0
J2016042016013028,D20160420001172,N.HSFH,2016-04-20T16:01:42.485275Z,2016-04-20T16:01:51.348492Z,U,original,33.3652,130.4049,-146.0,2016-04-20T16:01:42.070000Z,2016-04-20T16:01:50.070000Z,U,1.0,0.0
J2016042016013028,D20160420001172,N.KHKH,2016-04-20T16:01:36.336772Z,2016-04-20T16:01:40.735138Z,U,original,33.1089,130.6949,-26.0,2016-04-20T16:01:36.300000Z,2016-04-20T16:01:40.350000Z,U,0.9993,0.0012
