pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std
2024T000000013,KS,DGJA,HG,2024-06-11T23:27:12.514012Z,2024-06-11T23:27:29.067418Z,add,36.8894,126.6174,85.0,,,U,1.0,0.0
2024T000000013,KS,DGLA,HG,2024-06-11T23:27:18.938796Z,2024-06-11T23:27:41.107847Z,add,36.7907,128.2706,496.0,,,U,0.9914,0.0556
2024T000000013,KS,DKSA,HG,2024-06-11T23:27:19.011932Z,2024-06-11T23:27:41.239388Z,add,36.9044,128.1456,322.0,,,D,0.534,0.2774
2024T000000013,KS,DNBA,HG,2024-06-11T23:27:17.350359Z,2024-06-11T23:27:38.250865Z,add,36.3906,128.4284,116.0,,,D,0.8715,0.0509
2024T000000013,KS,DNYA,HG,2024-06-11T23:27:21.457534Z,2024-06-11T23:27:45.638029Z,add,36.9877,128.3559,231.0,,,U,0.7287,0.1007
2024T000000013,KS,DUSB,HH,2024-06-11T23:27:06.673343Z,2024-06-11T23:27:18.904863Z,add,35.8942,127.7731,694.0,,,D,1.0,0.0
2024T000000013,KS,ECDB,HH,2024-06-11T23:27:03.984655Z,2024-06-11T23:27:14.263760Z,add,36.1183,125.9797,84.0,,,D,0.8981,0.1746
2024T000000013,KS,EURB,HH,2024-06-11T23:27:14.406018Z,2024-06-11T23:27:32.955091Z,add,35.322492,128.288222,13.0,,,D,1.0,0.0
2024T000000013,KS,EUSB,HH,2024-06-11T23:27:19.792322Z,2024-06-11T23:27:42.642998Z,add,36.3561,128.6887,123.0,,,D,0.9675,0.0588
2024T000000013,KS,GACA,HG,2024-06-11T23:27:15.630609Z,2024-06-11T23:27:35.157682Z,add,35.1136,128.3071,178.0,,,D,1.0,0.0
2024T000000013,KS,GAGA,HG,2024-06-11T23:27:29.611732Z,2024-06-11T23:28:00.303586Z,add,37.1306,129.1696,203.0,,,D,0.9871,0.0366
2024T000000013,KS,GAPB,HH,2024-06-11T23:27:26.834001Z,2024-06-11T23:27:55.307861Z,add,37.8442,127.4949,123.8,,,U,0.5777,0.3828
2024T000000013,KS,GBI2,HH,2024-06-11T23:27:14.266007Z,2024-06-11T23:27:32.703263Z,add,36.6255,125.559515,144.1,,,U,0.9996,0.0009
2024T000000013,KS,GDDB,HH,2024-06-11T23:27:21.699452Z,2024-06-11T23:27:46.073137Z,add,34.9931,128.8313,127.40000000000002,,,D,1.0,0.0
2024T000000013,KS,GEJA,HG,2024-06-11T23:27:20.104645Z,2024-06-11T23:27:43.204741Z,add,34.998401,128.679686,24.0,,,D,0.8254,0.0942
2024T000000013,KS,GEJB,HH,2024-06-11T23:27:37.720075Z,2024-06-11T23:28:14.885511Z,add,38.4165,128.3858,135.0,,,U,1.0,0.0
2024T000000013,KS,GGDA,HG,2024-06-11T23:27:24.558539Z,2024-06-11T23:27:51.215380Z,add,35.9499,129.2531,85.0,,,D,1.0,1e-04
2024T000000013,KS,GGDB,HH,2024-06-11T23:27:25.058247Z,2024-06-11T23:27:52.114124Z,add,34.0521917,125.126362,69.0,,,U,1.0,0.0
2024T000000013,KS,GGGA,HG,2024-06-11T23:27:27.181796Z,2024-06-11T23:27:55.933373Z,add,36.3637,129.3908,132.0,,,D,1.0,0.0
2024T000000013,KS,GGSA,HG,2024-06-11T23:27:27.926903Z,2024-06-11T23:27:57.273450Z,add,36.9295,129.1518,655.0,,,U,0.8039,0.1193
2024T000000013,KS,GGTA,HG,2024-06-11T23:27:24.657907Z,2024-06-11T23:27:51.394097Z,add,37.7686,126.8991,126.0,,,D,0.5304,0.1784
2024T000000013,KS,GH2B,HH,2024-06-11T23:27:23.919083Z,2024-06-11T23:27:50.065288Z,add,37.7076,126.446435,81.69999999999999,,,U,1.0,0.0
2024T000000013,KS,GICA,HG,2024-06-11T23:27:12.302368Z,2024-06-11T23:27:28.700568Z,add,36.0812,128.1016,120.0,,,D,1.0,1e-04
2024T000000013,KS,GIGA,HG,2024-06-11T23:27:24.195978Z,2024-06-11T23:27:50.563296Z,add,36.0689,129.1996,104.0,,,D,1.0,0.0
2024T000000013,KS,GIJA,HG,2024-06-11T23:26:53.595446Z,2024-06-11T23:26:56.205087Z,original,35.796622,126.902045,16.0,2024-06-11T23:26:53.595446Z,2024-06-11T23:26:56.205087Z,D,1.0,0.0
2024T000000013,KS,GKSA,HG,2024-06-11T23:27:01.880951Z,2024-06-11T23:27:10.632200Z,add,35.2304,127.2252,182.0,,,U,1.0,0.0
2024T000000013,KS,GLCA,HG,2024-06-11T23:27:32.355790Z,2024-06-11T23:28:05.238618Z,add,37.9049,128.5207,600.0,,,D,0.875,0.1238
2024T000000013,KS,GLSA,HG,2024-06-11T23:27:05.996001Z,2024-06-11T23:27:17.735608Z,add,36.5255,126.545,77.0,,,U,1.0,1e-04
2024T000000013,KS,GMDB,HH,2024-06-11T23:27:19.807704Z,2024-06-11T23:27:42.670664Z,add,34.0408,127.2882,132.0,,,U,0.9994,0.0015
2024T000000013,KS,GMHB,HH,2024-06-11T23:27:32.041529Z,2024-06-11T23:28:04.673439Z,add,38.25,127.421,246.0,,,D,0.9997,0.0011
2024T000000013,KS,GMPB,HH,2024-06-11T23:27:22.856405Z,2024-06-11T23:27:48.153999Z,add,37.6421,126.6756,52.0,,,D,1.0,1e-04
2024T000000013,KS,GOBA,HG,2024-06-11T23:27:08.473229Z,2024-06-11T23:27:22.011764Z,add,36.657064,126.544051,45.0,,,D,0.9927,0.039
