net,sta,start,end,lat,lon,elv,digitizer,vel,acc,chan
KS,IKSA,2015-09-30,,36.0592,127.0619,86.0,q330hrs,,ES-DH-A,HG
KS,IKSB,2023-03-10,,35.9355,126.9747,66.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,IMSB,2019-03-18,,35.6124,127.2854,238.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,IMWB,2012-12-23,,37.237934,129.342076,21.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,INCA,2016-05-31,,37.4777,126.624,108.0,q330hrs,,ES-DH-A,HG
KS,INJA,2021-11-13,,36.993,126.918474,59.0,Centaur,,Titan-PH-A,HG
KS,IPTA,2021-11-05,,36.996887,127.135381,0.0649999999999999,Centaur,,Titan-PH-A,HG
KS,ISHB,2021-11-05,,37.348832,126.70386,49.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,IYIB,2021-12-23,,37.2708,127.2317,164.0,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,IYPA,2021-11-11,,37.491441,127.521814,94.0,Centaur,,Titan-PH-A,HG
KS,JAEA,2019-03-18,,36.8,128.9903,380.0,q330sp,,ES-DH-A,HG
KS,JAEB,2022-11-29,,34.879054,126.028758,2.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,JAGA,2019-03-18,,35.3196,126.8107,121.8,q330sp,,ES-DH-A,HG
KS,JAHA,2016-12-16,,34.689,126.9194,89.0,q330sp,,ES-DH-A,HG
KS,JASA,2016-12-16,,35.6571,127.5204,454.0,q330sp,,ES-DH-A,HG
KS,JCUA,2019-03-18,,37.2753,128.2694,322.0,q330sp,,ES-DH-A,HG
KS,JDGB,2021-11-09,,37.690417,128.674248,813.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,JDO2,2019-03-18,,34.473,126.3238,541.0,q330hrs,GS-13-A,ES-T-A,EL
KS,JECB,2015-09-30,,37.1595,128.1945,317.0,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,JEDA,2022-11-29,,35.001844,126.101988,8.0,Centaur,,Titan-PH-A,HG
KS,JEJB,2016-12-16,,35.6374,129.4411,46.4,q330hrs,CMG-3TB-C,ES-DH-A,HH
KS,JESA,2018-03-09,,37.4303,128.6653,434.0,q330sp,,ES-DH-A,HG
KS,JEU2,2016-12-16,,35.49345,126.929807,198.0,q330hrs,CMG-40T-1-A,ES-T-A,EL
KS,JGJA,2021-11-13,,37.704719,128.913415,78.0,Centaur,,Titan-PH-A,HG
KS,JGNA,2019-03-18,,35.8754,128.0485,413.0,q330sp,,ES-DH-A,HG
KS,JHCB,2021-11-12,,38.232183,127.688756,468.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,JINA,2016-05-31,,35.1642,128.0402,73.0,q330hrs,,ES-DH-A,HG
