pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std,sta0
2024T000000013,KS,MSMB,HH,2024-06-11T23:26:52.932921Z,2024-06-11T23:26:55.043948Z,original,35.689173,126.556217,49.0,2024-06-11T23:26:52.932921Z,2024-06-11T23:26:55.043948Z,D,1.0,0.0,MSMB
2024T000000013,KS,NACA,HG,2024-06-11T23:26:55.350399Z,2024-06-11T23:26:59.359265Z,add,35.9505,126.591,51.0,,,U,1.0,0.0,NACA
2024T000000013,KS,NAJA,HG,2024-06-11T23:27:02.939101Z,2024-06-11T23:27:12.459027Z,add,35.0261,126.8264,67.4,,,U,1.0,0.0,NAJA
2024T000000013,KS,NAWB,HH,2024-06-11T23:27:01.735515Z,2024-06-11T23:27:10.381165Z,add,35.42117,127.396272,127.0,,,D,0.9992,0.0028,NAWB
2024T000000013,KS,NGJA,HG,2024-06-11T23:27:10.127229Z,2024-06-11T23:27:24.866879Z,add,34.644516,126.784051,55.0,,,U,0.9983,0.0045,NGJA
2024T000000013,KS,NHPA,HG,2024-06-11T23:27:02.556224Z,2024-06-11T23:27:11.798012Z,add,35.060394,126.527374,37.0,,,U,1.0,0.0,NHPA
2024T000000013,KS,NJDA,HG,2024-06-11T23:27:15.006824Z,2024-06-11T23:27:34.035723Z,add,37.0503,126.4221,59.0,,,D,0.9993,0.003,NJDA
2024T000000013,KS,NLDA,HG,2024-06-11T23:27:14.224364Z,2024-06-11T23:27:32.628362Z,add,34.5326,127.4673,127.0,,,U,0.9999,0.0004,NLDA
2024T000000013,KS,NOSA,HG,2024-06-11T23:27:02.789486Z,2024-06-11T23:27:12.200735Z,add,36.2836,127.1272,108.0,,,U,0.9985,0.0028,NOSA
2024T000000013,KS,NSJA,HG,2024-06-11T23:27:14.386903Z,2024-06-11T23:27:32.920710Z,add,34.381934,126.515861,45.0,,,U,0.9986,0.0026,NSJA
2024T000000013,KS,NYSA,HG,2024-06-11T23:27:14.385535Z,2024-06-11T23:27:32.918250Z,add,34.378096,126.88675,35.0,,,U,1.0,0.0,NYSA
2024T000000013,KS,OGSB,HH,2024-06-11T23:27:20.425223Z,2024-06-11T23:27:43.781331Z,add,35.7685,128.8971,281.0,,,D,1.0,0.0,OGSB
2024T000000013,KS,OJSA,HG,2024-06-11T23:27:21.515182Z,2024-06-11T23:27:45.741714Z,add,36.786901,128.571418,196.0,,,D,0.9818,0.02,OJSA
2024T000000013,KS,OOJB,HH,2024-06-11T23:27:28.973648Z,2024-06-11T23:27:59.156009Z,add,36.701999,129.408396,103.0,,,D,0.9999,0.0007,OOJB
2024T000000013,KS,PGEA,HG,2024-06-11T23:27:22.372441Z,2024-06-11T23:27:47.283558Z,add,36.7559,128.692,210.0,,,D,1.0,0.0,PGEA
2024T000000013,KS,PMYA,HG,2024-06-11T23:27:19.080690Z,2024-06-11T23:27:41.363057Z,add,35.501783,128.760554,121.0,,,D,1.0,0.0,PMYA
2024T000000013,KS,PORA,HG,2024-06-11T23:27:02.270025Z,2024-06-11T23:27:11.304004Z,add,36.327826,126.557519,40.0,,,U,1.0,0.0,PORA
2024T000000013,KS,PUYA,HG,2024-06-11T23:27:17.348392Z,2024-06-11T23:27:38.247328Z,add,36.56179,128.306132,76.0,,,D,0.9998,0.0008,PUYA
2024T000000013,KS,PYSB,HH,2024-06-11T23:27:28.399234Z,2024-06-11T23:27:58.122933Z,add,33.3536,126.8167,124.0,,,D,0.9999,0.0003,PYSB
2024T000000013,KS,SECA,HG,2024-06-11T23:26:58.510623Z,2024-06-11T23:27:04.814528Z,add,36.142,126.7519,56.0,,,U,1.0,0.0,SECA
2024T000000013,KS,SEJA,HG,2024-06-11T23:27:13.142106Z,2024-06-11T23:27:30.360870Z,add,35.947423,128.21703,59.0,,,D,1.0,0.0,SEJA
2024T000000013,KS,SENA,HG,2024-06-11T23:26:53.338576Z,2024-06-11T23:26:55.790000Z,original,35.538485,126.742386,31.0,2024-06-11T23:26:53.338576Z,2024-06-11T23:26:55.790000Z,U,1.0,0.0,SENA
2024T000000013,KS,SGMA,HG,2024-06-11T23:27:26.066842Z,2024-06-11T23:27:53.928111Z,add,37.8282,127.288,308.0,,,U,0.9998,0.0004,SGMA
2024T000000013,KS,SGNA,HG,2024-06-11T23:27:20.689269Z,2024-06-11T23:27:44.256239Z,add,37.4461,127.1832,225.0,,,D,0.9999,0.0005,SGNA
2024T000000013,KS,SGP2,HH,2024-06-11T23:27:29.781538Z,2024-06-11T23:28:00.608976Z,add,33.2587,126.4993,239.3,,,D,1.0,0.0,SGP2
2024T000000013,KS,SH2B,HH,2024-06-11T23:27:35.258629Z,2024-06-11T23:28:10.459037Z,add,38.2685,128.2524,432.0,,,D,1.0,0.0,SH2B
2024T000000013,KS,SIJA,HG,2024-06-11T23:27:05.462457Z,2024-06-11T23:27:16.814615Z,add,34.8954483,126.588043,59.0,,,U,1.0,0.0,SIJA
2024T000000013,KS,SKBA,HG,2024-06-11T23:27:25.672505Z,2024-06-11T23:27:53.218886Z,add,36.521,129.1791,320.0,,,U,1.0,0.0,SKBA
2024T000000013,KS,SKC2,EL,2024-06-11T23:27:36.872508Z,2024-06-11T23:28:13.361325Z,add,38.2898,128.5219,70.0,,,D,1.0,0.0002,SKC2
2024T000000013,KS,SMWA,HG,2024-06-11T23:26:54.376208Z,2024-06-11T23:26:57.504626Z,original,35.5259,126.5522,74.0,2024-06-11T23:26:54.376208Z,2024-06-11T23:26:57.504626Z,D,0.9997,0.0007,SMWA
2024T000000013,KS,SNGB,HH,2024-06-11T23:27:30.711204Z,2024-06-11T23:28:02.280942Z,add,37.3465,129.0865,124.0,,,U,0.9997,0.0007,SNGB
2024T000000013,KS,SNNA,HG,2024-06-11T23:27:18.810994Z,2024-06-11T23:27:40.877981Z,add,36.0502,128.7111,305.0,,,U,0.9993,0.0025,SNNA
2024T000000013,KS,SNWA,HG,2024-06-11T23:27:29.396782Z,2024-06-11T23:27:59.917005Z,add,33.279813,126.705114,0.036,,,U,0.9963,0.0038,SNWA
2024T000000013,KS,SUCA,HG,2024-06-11T23:26:58.998339Z,2024-06-11T23:27:05.656456Z,add,35.373621,127.138635,91.0,,,U,1.0,0.0,SUCA
2024T000000013,KS,TAIA,HG,2024-06-11T23:26:53.648857Z,2024-06-11T23:26:56.422075Z,add,35.6507,126.9318,50.0,,,D,1.0,0.0,TAIA
2024T000000013,KS,TANB,HH,2024-06-11T23:27:10.634070Z,2024-06-11T23:27:25.777983Z,add,36.6731,126.1353,50.0,,,U,1.0,0.0002,TANB
