event_id,data_id,sta,ptime,stime,pol
J2016042016013028,D20160420001172,N.TARH,2016-04-20T16:01:40.810000Z,2016-04-20T16:01:48.190000Z,U
J2016042016013028,D20160420001172,N.TKKH,2016-04-20T16:01:41.080000Z,2016-04-20T16:01:48.590000Z,U
J2016042016013028,D20160420001172,KU.SMT,2016-04-20T16:01:41.100000Z,2016-04-20T16:01:49.060000Z,U
J2016042016013028,D20160420001172,KITAKA,2016-04-20T16:01:41.580000Z,,K
J2016042016013028,D20160420001172,N.UMWH,2016-04-20T16:01:42.200000Z,,U
J2016042016013028,D20160420001172,N.HSFH,2016-04-20T16:01:42.070000Z,2016-04-20T16:01:50.070000Z,U
J2016042016013028,D20160420001172,HONDO,2016-04-20T16:01:43.080000Z,,K
J2016042016013028,D20160420001172,ITAYA,2016-04-20T16:01:43.380000Z,,K
J2016042016013028,D20160420001172,N.NTHH,2016-04-20T16:01:43.390000Z,2016-04-20T16:01:52.940000Z,U
J2016042016013028,D20160420001172,BEPPUA,2016-04-20T16:01:43.880000Z,,K
J2016042016013028,D20160420001172,OKUCHI,2016-04-20T16:01:43.880000Z,,K
J2016042016013028,D20160420001172,N.NRAH,2016-04-20T16:01:44.340000Z,2016-04-20T16:01:53.730000Z,U
J2016042016013028,D20160420001172,N.UMIH,2016-04-20T16:01:44.310000Z,2016-04-20T16:01:53.920000Z,U
J2016042016013028,D20160420001172,URESHI,2016-04-20T16:01:44.670000Z,,K
J2016042016013028,D20160420001172,N.NGSH,2016-04-20T16:01:45.490000Z,2016-04-20T16:01:56.360000Z,U
J2016042016013028,D20160420001172,N.BZNH,2016-04-20T16:01:45.360000Z,2016-04-20T16:01:56.020000Z,U
J2016042016013028,D20160420001172,KU.SBR,2016-04-20T16:01:45.190000Z,2016-04-20T16:01:55.520000Z,U
J2016042016013028,D20160420001172,KU.STO,2016-04-20T16:01:46.050000Z,2016-04-20T16:01:56.640000Z,U
J2016042016013028,D20160420001172,USUKI,2016-04-20T16:01:45.880000Z,,K
J2016042016013028,D20160420001172,TSUNO,2016-04-20T16:01:45.970000Z,,K
J2016042016013028,D20160420001172,N.SBSH,2016-04-20T16:01:46.760000Z,2016-04-20T16:01:58.640000Z,U
J2016042016013028,D20160420001172,N.MYJH,2016-04-20T16:01:47.410000Z,2016-04-20T16:01:59.920000Z,U
J2016042016013028,D20160420001172,G.SIBI,2016-04-20T16:01:48.060000Z,2016-04-20T16:02:01.300000Z,U
J2016042016013028,D20160420001172,TAKAZA,2016-04-20T16:01:48.690000Z,2016-04-20T16:02:01.250000Z,U
J2016042016013028,D20160420001172,TAKAZA,2016-04-20T16:01:48.690000Z,,K
J2016042016013028,D20160420001172,IKI,2016-04-20T16:01:53.980000Z,,K
J2016042016013028,D20160420001172,SUZUYA,2016-04-20T16:01:54.670000Z,,K
