net,sta,chan,lat,lon,elv
,YGYUZA,U,39.0162,139.9306,28.0
,YKANEY,U,38.9207,140.3557,220.0
,YOKOSK,U,35.2272,139.6622,80.0
,YONAGK,U,24.4511,122.9452,15.0
,YONAGU,U,24.4672,123.0113,32.0
,YORONJ,U,27.0246,128.4504,26.0
,YTOYOT,U,34.2658,131.0622,120.0
,YUWA,U,39.5432,140.205,30.0
,N.KHKH,U,33.1089,130.6949,-26.0
,SKAMAE,U,32.7981,131.9011,6.0
,N.MRTH,U,32.5181,131.3349,148.0
,KUSIMO,U,33.4499,135.7574,68.0
,KIHOKU,U,34.239,136.2736,80.0
,TENKAW,U,34.2701,135.884,840.0
,AKKESH,U,42.9987,144.6925,20.0
,ARCADI,U,37.9127,140.1436,245.0
,ASHIBE,U,43.507,142.2193,187.0
,ASHORO,U,43.2993,143.7657,210.0
,CHURUI,U,42.6168,143.3585,120.0
,HAMNAK,U,43.0828,145.1608,48.0
,KAMIAS,U,44.1188,142.593,220.0
,KAMIK2,U,43.8752,142.7442,350.0
,MARUSE,U,44.0093,143.3558,460.0
,MIKURA,U,33.8924,139.5907,149.0
,MINAM2,U,25.8198,131.2237,50.0
,MMIHAM,U,33.8191,136.0254,75.0
,NAKASH,U,43.5878,144.715,220.0
,ONBETS,U,42.9058,143.8308,60.0
,RISHIR,U,45.14,141.3073,27.0
,SHOSAN,U,44.402,141.8492,110.0
,SMATSU,U,35.6427,140.4483,34.0
,SOYAES,U,44.9612,142.5803,10.0
,TOKORO,U,43.9732,143.9042,42.0
,WAKKA3,U,45.3183,141.8937,60.0
,N.KKEH,U,33.2844,131.2118,298.0
,N.MIEH,U,32.987,131.5881,61.0
,N.TAKH,U,32.9726,131.3984,159.0
,N.TARH,U,33.3674,130.6355,-423.0
,N.YGNH,U,33.4122,131.0326,51.0
,N.YMGH,U,33.4581,131.4429,67.0
,N.NANH,U,32.347,131.2668,251.0
,N.HYOH,U,32.2052,130.737,-19.0
,N.MMTH,U,32.1704,130.3647,-96.0
,N.SNWH,U,32.3152,130.1811,-141.0
,N.UWEH,U,32.2209,130.9096,-3.0
,N.AKNH,U,31.994,130.2077,-161.0
,N.SRIH,U,33.1805,130.1048,-192.0
,N.KKIH,U,32.9553,129.8026,-98.0
,N.FJIH,U,33.4098,130.2329,271.0
